Customer ID,Customer Name,Customer Segment,Age Group,Region,Acquisition Channel,Campaign Name,Website Visit Date,Page Views,Product Viewed,Add to Cart,Checkout Started,Purchase Completed,Purchase Value,Session Duration (mins),Bounce Status,Customer Feedback Score,Customer Retention Status,Funnel Stage,Conversion Status
CUST001,Customer 1,New,26-35,South,Google,Summer Sale,2024-06-12,10,Yes,Yes,No,No,0,9.02,No,1,Retained,Cart,Not Converted
CUST002,Customer 2,New,46-60,East,Google,Festive Offer,2024-02-25,12,Yes,Yes,Yes,No,0,9.03,No,3,Retained,Checkout,Not Converted
CUST003,Customer 3,New,18-25,West,Google,New Launch,2024-02-25,14,No,No,No,No,0,7.54,Yes,3,Retained,Visit,Not Converted
CUST004,Customer 4,New,36-45,East,Instagram,Summer Sale,2024-04-27,1,Yes,No,No,No,0,13.56,No,3,Retained,View,Not Converted
CUST005,Customer 5,Returning,46-60,East,Instagram,New Launch,2024-02-29,6,Yes,No,No,No,0,4.98,No,3,Retained,View,Not Converted
CUST006,Customer 6,Returning,36-45,South,Email,Summer Sale,2024-06-04,4,Yes,Yes,Yes,No,0,16.61,No,3,Churned,Checkout,Not Converted
CUST007,Customer 7,New,46-60,West,Direct,Festive Offer,2024-03-09,5,Yes,Yes,No,No,0,3.65,No,5,Churned,Cart,Not Converted
CUST008,Customer 8,Returning,36-45,South,Instagram,Discount Blast,2024-05-29,2,No,No,No,No,0,15.36,Yes,1,Retained,Visit,Not Converted
CUST009,Customer 9,New,46-60,West,Direct,New Launch,2024-06-09,9,Yes,No,No,No,0,17.35,No,1,Retained,View,Not Converted
CUST010,Customer 10,Returning,18-25,East,Direct,Festive Offer,2024-06-23,8,No,No,No,No,0,1.06,Yes,3,Retained,Visit,Not Converted
CUST011,Customer 11,New,26-35,East,Instagram,Summer Sale,2024-05-09,10,Yes,No,No,No,0,7.16,No,1,Retained,View,Not Converted
CUST012,Customer 12,New,18-25,South,Google,Summer Sale,2024-04-02,12,No,No,No,No,0,10.23,Yes,1,Retained,Visit,Not Converted
CUST013,Customer 13,New,36-45,West,Instagram,Festive Offer,2024-02-02,12,No,No,No,No,0,6.92,Yes,3,Churned,Visit,Not Converted
CUST014,Customer 14,New,26-35,South,Google,New Launch,2024-05-12,1,No,No,No,No,0,12.18,Yes,2,Retained,Visit,Not Converted
CUST015,Customer 15,Returning,18-25,South,Email,Discount Blast,2024-01-02,4,Yes,Yes,Yes,Yes,757,11.25,No,5,Churned,Purchase,Converted
CUST016,Customer 16,Returning,26-35,North,Google,Discount Blast,2024-03-03,6,No,No,No,No,0,9.05,Yes,4,Retained,Visit,Not Converted
CUST017,Customer 17,Returning,18-25,South,Instagram,Festive Offer,2024-06-21,9,Yes,Yes,No,No,0,9.52,No,4,Retained,Cart,Not Converted
CUST018,Customer 18,New,18-25,West,Google,Summer Sale,2024-03-12,11,No,No,No,No,0,19.99,Yes,1,Retained,Visit,Not Converted
CUST019,Customer 19,Returning,46-60,South,Direct,Summer Sale,2024-03-01,3,Yes,No,No,No,0,8.2,No,4,Churned,View,Not Converted
CUST020,Customer 20,Returning,46-60,South,Instagram,New Launch,2024-04-26,4,No,No,No,No,0,19.41,Yes,5,Retained,Visit,Not Converted
CUST021,Customer 21,New,18-25,North,Instagram,Summer Sale,2024-03-21,10,Yes,Yes,No,No,0,2.29,No,2,Churned,Cart,Not Converted
CUST022,Customer 22,Returning,36-45,South,Email,Festive Offer,2024-01-31,5,Yes,Yes,Yes,No,0,8.52,No,3,Churned,Checkout,Not Converted
CUST023,Customer 23,New,18-25,South,Email,Festive Offer,2024-03-21,15,Yes,Yes,No,No,0,7.63,No,1,Retained,Cart,Not Converted
CUST024,Customer 24,New,46-60,East,Google,New Launch,2024-04-04,15,No,No,No,No,0,13.6,Yes,2,Churned,Visit,Not Converted
CUST025,Customer 25,Returning,26-35,East,Instagram,New Launch,2024-01-30,9,Yes,Yes,No,No,0,10.28,No,1,Retained,Cart,Not Converted
CUST026,Customer 26,Returning,18-25,North,Email,Festive Offer,2024-06-11,11,No,No,No,No,0,19.62,Yes,2,Churned,Visit,Not Converted
CUST027,Customer 27,New,18-25,North,Instagram,Summer Sale,2024-05-21,14,No,No,No,No,0,8.02,Yes,5,Retained,Visit,Not Converted
CUST028,Customer 28,Returning,18-25,East,Instagram,Festive Offer,2024-04-20,11,Yes,Yes,No,No,0,2.95,No,5,Churned,Cart,Not Converted
CUST029,Customer 29,New,26-35,East,Direct,Festive Offer,2024-06-07,5,Yes,Yes,Yes,Yes,3877,4.02,No,1,Churned,Purchase,Converted
CUST030,Customer 30,New,26-35,West,Email,New Launch,2024-01-10,14,No,No,No,No,0,16.11,Yes,2,Retained,Visit,Not Converted
